127.0.0.1 - - [22/Dec/2018:12:12:09 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:12:10 +0800] "GET /reservation/login.jsp HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:12:10 +0800] "GET /reservation/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:12:10 +0800] "GET /reservation/login.css HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:12:10 +0800] "GET /reservation/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:12:23 +0800] "GET /reservation/login.jsp HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:12:24 +0800] "GET /reservation/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:12:24 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:12:38 +0800] "GET /reservation/signup.jsp HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:12:38 +0800] "GET /reservation/signup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:12:54 +0800] "GET /reservation/main.jsp HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:12:54 +0800] "GET /reservation/mainpage.css HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:13:12 +0800] "GET /reservation/main.jsp HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:13:12 +0800] "GET /reservation/mainpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:13:13 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:20:03 +0800] "GET /reservation/main.jsp HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:20:03 +0800] "GET /reservation/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:20:03 +0800] "GET /reservation/mainpage.css HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:20:04 +0800] "GET /reservation/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:20:07 +0800] "GET /reservation/main.jsp HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [22/Dec/2018:12:22:47 +0800] "GET /reservation/main.jsp HTTP/1.1" 200 1331
