0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:22 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:22 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:22 +0800] "GET /reservation/reservation.jsp?rnvid=1&year=2019&month=1&day=2 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:22 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:22 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:22 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:22 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:24 +0800] "GET /reservation/rvnintro.jsp HTTP/1.1" 200 8320
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:24 +0800] "GET /reservation/news.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:24 +0800] "GET /reservation/images/lanqiu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:24 +0800] "GET /reservation/images/pinpang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:24 +0800] "GET /reservation/images/yumaoqiu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:24 +0800] "GET /reservation/images/paiqiu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:24 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:24 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:24 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:26 +0800] "GET /reservation/reservation.jsp?rnvid=1 HTTP/1.1" 200 6749
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:26 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:26 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:26 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 104
